Titulo;Anio;Genero;Duracion;Reparto 
Onde Vivem os Monstros;2009;Aventura, Drama;99 minutos;Catherine Keener,Catherine O'Hara,Forest Whitaker,James Gandolfini,Mark Ruffalo,Max Records,Paul Dano,Pepita Emmerichs,Spike Jonze
Sepultura Endurance;2017;Documentários, Musical;93 minutos;Sepultura,Otavio Juliano
Eric Clapton - Crossroads Guitar Festival 2013 - Parte 2;2013;Shows, Rock Internacional;152 minutos;Blake Mills,Booker T. Jones,Buddy Guy,Eric Clapton,Gregg Allman,Jeff Beck,John Mayer,Keith Richards,Martyn Atkins
Death in Paradise - 1ª Temporada;2011;Comédia, Drama, Policial;8 episódios;Ardal O'Hanlon,Danny John-Jules,Kris Marshall,Robert Thorogood
Tomb Raider - A Origem;2018;Aventura, Ação;117 minutos;Alicia Vikander,Daniel Wu,Derek Jacobi,Dominic West,Hannah John-Kamen,Josef Altin,Kristin Scott Thomas,Walton Goggins,Roar Uthaug
Leviatã;2014;Drama, Policial;141 minutos;Aleksey Serebryakov,Elena Lyadova,Roman Madianov,Vladimir Vdovitchenkov,Andrey Zvyagintsev
Divisão de Homicídios - 1ª Temporada;2016;Documentários, Policial;8 episódios;Beto Ribeiro,Carla Albuquerque
Promessa de Natal;2016;Comédia, Drama, Romance;87 minutos;Ashley Ross,Ben Wilkinson,Christie Laing,Erin Boyes,Jaime King,Lochlyn Munro,Luke Macfarlane,Sarah Smyth,David Winning
Biopesca - 5ª Temporada;2017;Documentários;15 episódios;Brenner,Johnny,Lawrence Ikeda,Mauricio,Brenner,Hoffmann,Johnny
Kleiton & Kledir - Ao Vivo;2005;Shows, MPB, Música;67 minutos;Kledir,Kleiton,Rene Goya Filho
Jair Rodrigues - Festa Para um Rei Negro;2009;Shows, MPB;86 minutos;Jair Rodrigues,André Wainer,Claudine Rodrigues
The Silencing;2020;Ação, Crime, Policial, Suspense;94 minutos;Annabelle Wallis,Caleb Ellsworth-Clark,Hero Fiennes Tiffin,Josh Cruddas,Kayla Dumont,Lisa Cromarty,Nikolaj Coster-Waldau,Shaun Smyth,Zahn McClarnon,Robin Pront
João Paulo II;2005;Fé e Espiritualidade, Drama;166 minutos;Ben Gazzarra,Cary Elwes,Christopher Lee,James Cromwell,John Voight,John Kent Harrison
Por uns Dólares a Mais;1965;Clássico, Western;131 minutos;Aldo Sambrell,Clint Eastwood,Dante Maggio,Gian Maria Volonte,Klaus Kinski,Lee Van Cleef,Luigi Pistilli,Tomas Blanco,Sergio Leone
A Lei da Água;2015;Documentários, Educacional;76 minutos;Não Disponível,André D'Elia
Alcione - Em Grandes Encontros - Ao Vivo;2015;Shows, Samba / Pagode;72 minutos;Alcione,Diego Lara
Coleção Bíblia Sagrada - Salomão;1997;Fé e Espiritualidade, Aventura, Biografia;167 minutos;Anouk Aimée,Ben Cross,Maria Grazia Cucinotta,Max Von Sydow,Richard Dillane,Stefania Rocca,Umberto Orsini,Vivica A. Fox,Roger Young
Amor Bandido;1978;Drama, Policial;89 minutos;Ana Maria Miranda,Cristina Aché,Flávio São Thiago,Hélio Ary,José Dumont,Ligia Diniz,Paulo Gracindo,Paulo Guarnieri,Bruno Barreto
Florence - Quem é Essa Mulher?;2016;Comédia, Drama;110 minutos;Allan Corduner,Christian McKay,Hugh Grant,Meryl Streep,Nina Arianda,Rebecca Ferguson,Simon Helberg,Stanley Townsend,Stephen Frears
Amado Batista - Acústico;2008;Shows, MPB, Sertanejo;83 minutos;Amado Batista,Sergio Bittencourt
Dentro da Escuridão;2019;Terror, Drama, Suspense;88 minutos;Adrienne Barbeau,Alexandra Davies,Alisha Boe,John Savage,Lesley-Anne Down,Mary Mouser,Randy Shelly,Tobin Bell,Don E. FauntLeRoy
Noel por Noel;1981;Documentário, Curta-Metragem;10 minutos;Não Disponível,Rogério Sganzerla
A Mulher Invisível;2019;Drama, Fantasia, Romance;111 minutos;Alan Ritchson,David Johansen,Jim Gaffigan,Justine Cotsonas,Maria Dizzia,Megan Fox,Olivia Thirlby,Tito Ortiz,Claudia Myers
Bruninho e Davi - Ao Vivo No Ibirapuera;2016;Shows, Sertanejo;85 minutos;Bruninho,Davi,Dudu Borges
Hellraiser II - Renascido das Trevas;1988;Terror, Suspense;98 minutos;Ashley Laurence,Clare Higgins,Deborah Joel,Doug Bradley,Imogen Boorman,Kenneth Cranham,Oliver Smith,William Hope,Tony Randel
Tratamento Mortal;2019;Terror;86 minutos;Aily Kei,Andi Rene Christensen,Arielle Hader,Hope Quattrocki,Liz Fenning,Mike Starr,Stephanie Pearson,Tanya Alexander,John Liang
Coronavírus - A História Não Contada;2020;Documentários, Drama;50 minutos;Alex Jones,Anthony Fauci,Bill Gates,Bret Baier,Donald Trump,Lesley Stahl,Mike Pompeo,Rachel Maddow,Stephen Presley,Stephen Presley
Em Sua Pele;2012;Suspense, Terror;96 minutos;Agam Darshi,Alex Ferris,Brett Delaney,James D'Arcy,Joshua Close,Quinn Lord,Rachel Miner,Selma Blair,Jeremy Power Regimbal
A Ponte do Rio Kwai;1957;Aventura, Drama;162 minutos;Alec Guinness,André Morell,Geoffrey Horne,Jack Hawkins,James Donald,Peter Williams,Sessue Hayakawa,William Holden,David Lean
O 30º Dia;2010;Suspense, Drama;88 minutos;Elisabeth Shue,Frances Conroy,Imogen Poots,Sarah Roemer,Shanna Forrestall,Taryn Manning,Wendy Glenn,Will Patton,Katherine Brooks
Inferno Carnal;1977;Terror, Clássico;82 minutos;Helena Ramos,José Mojica Marins,Luely Figueiró,Osvaldo de Souza,Zé do Caixão
Ben-Hur;1959;Ação, Aventura, Clássico;222 minutos;André Morell,Cathy O'donnell,Charlton Heston,Haya Harareet,Hugh Griffith,Jack Hawkins,Martha Scott,Stephen Boyd,William Wyler
Origem - Espíritos do Passado;2006;Animação, Aventura, Drama, Romance;94 minutos;Aoi Miyazaki,Atsuko Yuya,Hideyuki Tanaka,Hiroshi Naka,Katsuhisa Houki,Kenichi Endo,Kurumi Mamiya,Ryo Katsuji,Keiichi Sugiyama
Nutri Ventures - Em Busca dos 7 Reinos - Volume 1;2012;Infantil, Animação;11 episódios;Não Disponível,Rodrigo Carvalho
Eureka Seven - Boa Noite. Durmam Bem. Jovens Amantes;2009;Ação, Animação, Ficção Científica, Romance;115 minutos;Ami Koshimizu,Fumie Mizusawa,Kaori Nazuka,Keiji Fujiwara,Mamoru Miyano,Michiko Neya,Shigenori Yamazaki,Yûko Sanpei,Hiroshi Haraguchi,Tomoki Kyôda
Gadanthara - Um Fragmento da Biblioteca de Pormenores;2013;Curta-Metragem, Animação, Drama;6 minutos;Não Disponível,Filipe Dilly
Wallander - 4ª Temporada;2016;Policial, Drama;3 episódios;Barnaby Kay,David Wagner,Jeany Spark,Kenneth Branagh,Sadie Shimmin,Sarah Smart,Tom Beard,Tom Hiddleston,Benjamin Caron,Niall MacCormick,Philip Martin (IV)
Paterson;2016;Drama, Comédia, Romance;117 minutos;Adam Driver,Barry Shabaka Henley,Dominic Liriano,Golshifteh Farahani,Jaden Michael,Rizwan Manji,Trev Parham,Troy T. Parham,Jim Jarmusch
Upper Middle Bogan - 1ª Temporada;2013;Comédia;8 episódios;Annie Maynard,Dougie Baldwin,Harrison Feldman,Lara Robinson,Madeleine Jevic,Michala Banas,Patrick Brammall,Rhys Mitchell,Robyn Malcolm,Robyn Butler,Wayne Hope
Test Drive - 4ª Temporada;2017;Documentários;11 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Pequenos Milagres;2010;Drama, Ficção Científica;103 minutos;Donovan Scott,Evelina Pereira,Joaquim de Almeida,Joey Hagler,Michelle Mania,Scott Bailey,Skyler Day,Fernando Fragata
Crianças Inteligentes;2015;Infantil, Animação;11 episódios;Roselis Vieira,Antônio Vieira
Western;2017;Drama;120 minutos;Aliosman Deliev,Kevin Bashev,Meinhard Neumann,Momchil Sinanov,Reinhardt Wetrek,Syuleyman Alilov Letifov,Veneta Fragnova,Viara Borisova,Valeska Grisebach
Sabedoria Kaingang;2015;Documentário, Curta-Metragem;26 minutos;Não Disponível,Karine Emerich,Rogério Rosa
E Então Nós Dançamos;2019;Drama;112 minutos;Ana Javakishvili,Ana Makharadze,Bachi Valishvili,Dachi Babunashvili,Kakha Gogidze,Levan Gabrava,Levan Gelbakhiani,Nino Gabisonia,Levan Akin
Atchim e Espirro - Carnaval da Alegria;2015;Shows, Infantil;48 minutos;Carlos Alberto de Oliveira,Eduardo dos Reis,Gilberto Gouveia Eventos
Coleção Bíblia Sagrada - Sansão e Dalila;1996;Fé e Espiritualidade, Aventura, Drama, Romance;178 minutos;Ben Becker,Daniel Massey,Dennis Hopper,Diana Rigg,Elizabeth Hurley,Eric Thal,Michael Gambon,Paul Freeman,Nicolas Roeg
Monique ao Sol;2011;Curta-Metragem, Drama;13 minutos;Monique Rau,Wellington Sari,Wellington Sari
O Pequeno Príncipe - 2ª Temporada;2010;Animação, Aventura;26 episódios;Aidan Drummond,Brian Drummond,Franck Capillery,Gabriel Bismuth-Bienaimé,Guillaume Gallienne,Alexandre de La Patellière,Matthieu Delaporte
Tudo e Todas as Coisas;2017;Romance, Drama;96 minutos;Amandla Stenberg,Ana de La Reguera,Anika Noni Rose,Danube R. Hermosillo,Farryn VanHumbeck,Nick Robinson,Robert Lawrenson,Taylor Hickson,Stella Meghie
Maná - Drama Y Luz;2011;Shows, Pop Internacional, Rock Internacional;48 minutos;Alex González,Fer Olvera,Fernando 'Fher' Olvera,Juan Calleros,Sergio Vallín,Ruben R. Bañuelos
O Som da Alma;2012;Drama, Fé e Espiritualidade;129 minutos;Anna Lasbury,Craig LaFuse,Faith Yesner,Jim Dougherty,Lina Willard,Matt Hodges,Rob Deas,Rob Weidenfeld,Michael Robert Wolf
Procura-se uma Babá;2008;Terror, Suspense;90 minutos;Douglas Rowe,Jillian Schmitz,Linda Neal,Matt Dallas,Monty Bane,Nana Visitor,Sarah Thompson,Tina Houtz,Jonas Barnes,Michael Manasseri
Um Outro Encontro;2007;Drama, Fé e Espiritualidade;80 minutos;Chloe Allen,Jefferson Moore,Jonathan C. Barnes,Juliana Allen,Pamela Brumley,Pattie Crawford,Ruby Lewis,Stella Davis,Jefferson Moore,Shane Sooter
Tudo Pode Mudar;2015;Drama, Biografia, Drama, Fé e Espiritualidade, Filme;94 minutos;Burgess Jenkins,Callan Wilson,Jama Williamson,Jimmy Bellinger,Judge Reinhold,Lance E. Nichols,Phil Russell,Ted Johnson,Zach Meiners
O Destino Indomável;2018;Aventura, Romance;90 minutos;Amber Frank,Cassi Thomson,Denise Richards,Grace Johnston,Joey Lawrence,Madeline Carroll,Manolo Gonzalez Vergara,Nick Searcy,Anna Elizabeth James
DC - Liga da Justiça vs Jovens Titãs;2016;Animação, Ação;79 minutos;Christopher Gorham,Jason O'Mara,Jerry O'Connell,Jon Bernthal,Matt Lanter,Rosario Dawson,Stuart Allan,Taissa Farmiga,Sam Liu
Ride With the Wind;1994;Aventura, Drama;91 minutos;Bradley Pierce,Craig T. Nelson,Gina Gallego,Helen Shaver,Linda Dona,Max Gail,Stacey Nelkin,Tracey Walter,Bobby Roth
Street Fighter - A Vingança;1974;Clássico, Ação, Drama, Policial;78 minutos;Akira Shioji,Eizô Kitamura,Fuyuki Murakami,Kôji Wada,Masaharu Arikawa,Reiko Ike,Sonny Chiba,Tatsuo Endô,Shigehiro Ozawa
Um Céu de Estrelas;1996;Ficção Científica, Suspense;66 minutos;Leona Cavalli,Ligia Cortez,Néa Simões,Norival Rizzo,Paulo Vespúcio,Rosa Petrim,Tata Amaral
Zumbiologia - Aproveite Essa Noite;2017;Ação;106 minutos;Alex Manette,Angie Shum,Carrie Ng,Cherry Ngan,Kai-Chung Cheung,Michael Ning,Venus Wong,Alan Lo
Alceu, Elba e Geraldo - O Grande Encontro - 20 Anos;2016;Shows, Sertanejo;118 minutos;Alceu Valença,Elba Ramalho,Geraldo Azevedo,Alexandre Valentim,André Brasileiro,Marcos Arcanjo
O Reality Show;2018;Comédia;104 minutos;Alejandro Gonzalez,Jorge Enrique Abello,Laura de León,Luis Eduardo Arango,Verónica Orozco,Rodrigo Triana
Juro que Vi - O Boto;2006;Ficção, Animação, Curta-Metragem, Infantil;11 minutos;Regina Casé,Humberto Avelar
Escorpiões do Mar;2005;Ação, Aventura, Comédia, Ficção Científica, Suspense, Terror;98 minutos;Casey Clark,Daniella Kimber,Erich Silva,James Cagnard,Jordi Almeida,Michelle Meadows,Richard Froelich,Tom Huntington,Martin Munthe
Os Irmãos Marx - Os Quatro Batutas;1931;Clássico, Comédia;77 minutos;Chico Marx,Groucho Marx,Harpo Marx,Harry Woods,Rockliffe Fellowes,Ruth Hall,Thelma Todd,Zeppo Marx,Norman Z. McLeod
Coletânea de Pregações - A Cura das Emoções;2011;Fé e Espiritualidade;67 minutos;Irmã Maria Eunice,Carlos Eduardo da Silva
Paddington 2;2017;Animação, Aventura;103 minutos;Brendan Gleeson,Hugh Bonneville,Hugh Grant,Jim Broadbent,Julie Walters,Peter Capaldi,Sally Hawkins,Samuel Joslin,Paul King
Coragem Para Amar;2017;Romance, Drama, Fé e Espiritualidade;100 minutos;Daniel Knudsen,Holly Houk,Jared Withrow,Jessica Koloian,Kristina Kaylen,Mike T. Tremblay,Nathan Jacobson,Patricia Mauceri,Tim Kaiser,Daniel Knudsen
A Hora Mais Escura;2012;Suspense, Ação;156 minutos;Édgar Ramírez,Harold Perrineau,Jason Clarke,Jennifer Ehle,Jessica Chastain,Joel Edgerton,Kyle Chandler,Mark Strong,Kathryn Bigelow
Miss Violence;2013;Drama;99 minutos;Eleni Roussinou,Reni Pittaki,Themis Panou,Alexandros Avranas
Dark World - Equilibrium;2013;Aventura, Ficção Científica, Suspense;91 minutos;Aleksandr Ratnikov,Alisa Khazanova,Eugenia Khirivskaya,Makar Zaporozhskiy,Mariya Pirogova,Pavel Priluchnyy,Vladislav Abashin,Oleg Assadulin
No Rastro da Violência;2017;Policial, Suspense;106 minutos;Bruce Dern,Columbus Short,Denise Richards,Emma Rigby,Johnny Messner,Kaiwi Lyman-Mersereau,Michael Paré,Rob Gronkowski,Timothy Woodward Jr.
DC - Super Hero Girls - Hero of the Year;2016;Animação, Ação, Aventura;76 minutos;Anais Fairweather,Anna Vocino,Grey Griffin,Mae Whitman,Stephanie Sheh,Tara Strong,Teala Dunn,Yvette Nicole Brown,Cecilia Aranovich
A Casa Caiu - Um Cassino na Vizinhança;2017;Comédia, Policial;88 minutos;Allison Tolman,Amy Poehler,Christina Offley,Jason Mantzoukas,Nick Kroll,Rob Huebel,Ryan Simpkins,Will Ferrell,Andrew Jay Cohen
Ursinho da Pesada;2008;Infantil, Animação;50 minutos;Freak Teddy,Pancada,Sr. Polaris,Michele Gabriel
Contatos Alienígenas;2014;Terror, Comédia, Ficção Científica;89 minutos;David Beard,George Fisher,Krystal Banks,Lisa Cullen,Michael Berkman,Rose Emanuel,Stephanie Callaway,Ted Barba,Edward Conna
Romance a Três;2017;Drama, Romance;97 minutos;Adriana Matoshi,Alban Ukaj,Aurita Agushi,Donike Ahmeti,Fisnik Ademi,Genc Salihu,Kreshnik Keka Berisha,Vjosa Abazi,Blerta Zeqiri
Parada De Mão Calistenia;2020;Esporte;6 episódios;Tiago Mendes,Felipe Muñoz
Oito Mulheres e um Segredo;2018;Comédia, Policial;110 minutos;Anne Hathaway,Awkwafina,Cate Blanchett,Helena Bonham Carter,Mindy Kaling,Rihanna,Sandra Bullock,Sarah Paulson,Gary Ross
Uma Pitada de Amor;2019;Romance, Comédia;83 minutos;Brittney Wilson,Debs Howard,Edward Foy,Edwin Perez,Luke Macfarlane,Meghann Fahy,Michelle Martin,Theresa Wong,Terry Ingram
Meu Nome é Ninguém;1973;Clássico, Western;115 minutos;Henry Fonda,Jean Martin,Karl Braun,Leo Gordon,Mario Brega,R.G. Armstrong,Steve Kanaly,Terence Hill,Tonino Valerii
Invocação do Mal;2013;Suspense, Terror;111 minutos;Hayley McFarland,Joey King,Lili Taylor,Mackenzie Foy,Patrick Wilson,Ron Livingston,Shanley Caswell,Vera Farmiga,James Wan
Histórias em Quadrinhos (Comics);1969;Documentário, Curta-Metragem;10 minutos;Não Disponível,Rogério Sganzerla
Fagner - Amigos e Canções;1999;Shows, MPB;58 minutos;Fagner,Santiago Ferraz
Juazeiro – Chão Sagrado - 1ª Temporada;2019;Documentário;6 episódios;Não Disponível,Rosemberg Cariry
Polly Pocket - Volume 3;2018;Animação, Infantil;23 minutos;Ellen Kennedy,Emily Tennant,Ian Hanlin,Kazumi Evans,Patricia Drake,Rhona Rees,Shannon Chan-Kent,Brent Bouchard,Jon Izen
Busca Alucinante;2011;Drama, Suspense;87 minutos;America Young,Brittany Murphy,Dean Cain,Kristen Kerr,Mimi Rogers,Peter Bogdanovich,Michael Feifer
João Bosco e Vinícius - Coração Apaixonou;2010;Shows, Sertanejo;64 minutos;João Bosco,Vinícius,Junior Jacques
Fez a Barba e o Choro;2011;Documentários, Curta-Metragem, Musical;21 minutos;Camanga,Camanguinha,Cássio,Professor Menoti,Seu Machado,Soninha,Tatiana Nequete
Anaconda 3;2008;Terror, Aventura;91 minutos;Anthony Green,Crystal Allen,David Hasselhoff,John Rhys-Davies,Mihaela Elena Oros,Patrick Regis,Ryan McCluskey,Serban Celea,Don E. FauntLeRoy
Reine sobre Mim;2012;Comédia, Fé e Espiritualidade;106 minutos;Chloe Flores,Erica Lloyd,Josiah David Warren,Nate Constant,Rafael Hernández,Tabitha Bonner,Zachary Michael,Josiah David Warren
Tudo por Amor;2016;Comédia, Romance;88 minutos;Ali Liebert,Antonio Cupo,Dylan Schmid,Erika Christensen,Jordana Largy,Patrick Gilmore,Paul Greene,Tom Butler,Terry Ingram
Godzilla;1954;Drama, Clássico, Ficção Científica, Terror;95 minutos;Akihiko Hirata,Akira Takarada,Takashi Shimura,Ishirô Honda
A Convocação - Todos Pela Paz Mundial;2010;Documentários;91 minutos;Brian Cox,Chaim Cohen,Deepak Chopra,Karen Armstrong,Michael Beckwith,Mustapha Cherif,Rosario Dawson,Stewart Copeland,Emmanuel Itier
O Frasco da Morte;2010;Policial, Mistério, Suspense;90 minutos;Amber Benson,Danny Trejo,Harold Perrineau,Kevin Gage,Lew Temple,Lindsey Axelsson,Michael Madsen,Talan Torriero,Mark Young
Mistérios - Casas Mal-Assombradas;2015;Fé e Espiritualidade, Documentário;32 minutos;Felipe Ohno,Márcia Cobêro,Norberto Gaviolle,Leandro Rocha
Show Dogs - O Agente Canino;2018;Comédia, Infantil;92 minutos;Kerry Shale,Natasha Lyonne,Omar Chaparro,Will Arnett,Raja Gosnell
Amazônia Eterna;2012;Documentários;79 minutos;Não Disponível,Belisario Franca
Zumbers;2008;Infantil, Animação;37 episódios;Luan Krüder,Ruth Asensio,Victor Hernández,Alex Colls,Enrique Uviedo
Preparação Corrida Treino - 1ª Temporada;2019;Esporte;8 episódios;Karol Ribeiro,Felipe Muñoz
Funeral a Cigana;2012;Comédia, Curta-Metragem, Drama;15 minutos;Carrero Soares,Germano Mello,Sandro Soares,Zenilda Silva,Fernando Honesko
As Aventuras de Poti & Anda-Luz;2014;Animação, Infantil;6 episódios;Não Disponível,Valu Vasconcelos
Chance de Vencer;1988;Policial, Drama, Romance;116 minutos;Christopher Walken,Debra Feuer,Dondré T. Whitfield,Jon Polito,Joseph Ragno,Kevin Conway,Mickey Rourke,Rubén Blades,Michael Seresin
Corajosos;2011;Drama, Drama, Filme, Policial;129 minutos;Alex Kendrick,Angelita Nelson,Ben Davies,Ken Bevel,Kevin Downes,Matt Hardwick,Robert Amaya,Rusty Martin,Alex Kendrick
Desconhecido;2011;Ação, Aventura;113 minutos;Aidan Quinn,Bruno Ganz,Diane Kruger,Frank Langella,January Jones,Karl Markovics,Liam Neeson,Sebastian Koch,Jaume Collet-Serra
Tereza e Tereza;2014;Curta-Metragem, Drama;16 minutos;Vera Holtz,Guilherme Biglia
Bill e Ted - Encare a Música;2020;Comédia, Ação, Aventura, Musical;91 minutos;Alex Winter,Anthony Carrigan,Brigette Lundy-Paine,Jayma Mays,Keanu Reeves,Kristen Schaal,Samara Weaving,William Sadler,Dean Parisot
Exilados;2006;Ação, Aventura;108 minutos;Anthony Wong,Francis N.G.,Josie Ho,Ka Tung Lam,Libby Brien,Nick Cheung,Richie Jen,Simon Yam,Suet Lam,Johnnie To
O Condutor;2010;Curta-Metragem;18 minutos;Beto Luth,Freddy Martinez,Gustavo Fructuozo,Hermano Matias,Maluco Plá,Maurício de Olinda,Piéterson Duderstadt,Tiago Capdeville,Guilherme Biglia
Double the Fist - 1ª Temporada;2004;Ação, Comédia;8 episódios;Bryan Moses,Craig Anderson,Doug Bayne,Hollie Andrew,Tony Walters,Craig Anderson,Doug Bayne,Tony Walters
Aventura Sem Limites;2013;Aventura, Ação;82 minutos;Colton Christensen,Jake Bramante,Judah Justine,Karen Dunham,Liam Justine,Lillith Fields,Robert Bear,Robert Milo Andrus,Andrew Wiest
A Primeira Grande Descida;2005;Documentários, Aventura;110 minutos;Hannah Teter,Nick Perata,Shaun White,Shawn Farmer,Travis Rice,Kemp Curly,Kevin Harrison
6 Minutos para Morrer;2013;Terror, Ficção Científica;70 minutos;Frank Riano,James Sferrazza,John Basedow,Joseph Ciminera,Joshua Elliott Pickel,Julia Gregorio,Keeler Jay Vernon,Tiffany Browne-Tavarez,Joseph Ciminera
Juan Ensina Espanhol;2011;Infantil;38 minutos;Disponível, Não,Disponível, Não
De Onde Vem? - 1ª Temporada;2001;Infantil, Animação;5 episódios;Não Disponível,Célia Catunda,Kiko Mistrorigo
Se Fazendo de Morto;2013;Comédia, Mistério, Policial;104 minutos;Anne Le Ny,Camille Saint-Jean,Corentin Lobet,François Damiens,Géraldine Nakache,Jean-Marie Winling,Judith Henry,Kévin Azaïs,Lucien Jean-Baptiste,Nanou Garcia,Jean-Paul Salomé
Lucas Lucco - A Origem - Ao Vivo em Goiânia;2019;Shows, Sertanejo;56 minutos;Lucas Lucco,Não Disponível
Demônios e Maravilhas;1987;Documentário, Suspense;49 minutos;Carmen Mojica,José Mojica Marins,Nilcemar Leyart,Oscar Marcil,José Mojica Marins,Zé do Caixão
Reféns de Um Segredo;2012;Suspense, Policial;91 minutos;Anthony Rapp,Anthony Ruivivar,David Zayas,Harris Doran,Michael O'Keefe,Neal Bledsoe,Summer Crockett Moore,Tom Pelphrey,Tony Glazer
Cold Mountain;2003;Aventura, Drama;154 minutos;Brendan Gleeson,Eileen Atkins,Giovanni Ribisi,Jude Law,Natalie Portman,Nicole Kidman,Philip Seymour Hoffman,Renée Zellweger,Anthony Minghella
Copenhagen;2014;Aventura, Drama, Romance;98 minutos;Christian Brandt,Frederikke Dahl Hansen,Gethin Anthony,Julie Christiansen,Mille Dinesen,Peter Eriksen,Sebastian Armesto,Thomas Buttenschon,Mark Raso
O Confidente;2012;Comédia, Drama, História, Suspense;103 minutos;Jan Budar,Jirí Mádl,Maciej Stuhr,Michaela Majerníková,Ondrej Vetchý,Juraj Nvota
O Rei da Munganga;2008;Documentários;70 minutos;Genival Lacerda,Carolina Paiva
Encruza;2019;Curta-Metragem;11 minutos;Bruna Andrade,Dejah Idalice,Eliete Miranda,Igor Bonfim,Ismael Veríssimo,Jhon Vital,Linda Marina,Reinaldo Junior,Bruna Andrade,Gleyser Ferreira,Maíra Oliveira,Uilton Oliveira
Trip Brasil - Check In;2016;Documentários;4 episódios;Não Disponível,Mauricio Jordy
Dívida de Sangue;2002;Policial, Ação;110 minutos;Anjelica Huston,Clint Eastwood,Dylan Walsh,Jeff Daniels,Mason Lucero,Paul Rodriguez,Tina Lifford,Wanda De Jesus,Clint Eastwood
